ID,Date,Company,Title,Location,Link
861,2023-09-07,Canonical,Web Developer,"Chicago, IL",https://www.linkedin.com/jobs/view/web-developer-at-canonical-3707593549?refId=HMZK87ObBNJJvDsLhfQu%2BA%3D%3D&trackingId=4U9KAelU65tGg7ugi4jUwA%3D%3D&position=11&pageNum=34&trk=public_jobs_jserp-result_search-card
862,2023-09-21,Burns & McDonnell,Staff Aquatic Scientist - Environmental Services (Chicago),"Downers Grove, IL",https://www.linkedin.com/jobs/view/staff-aquatic-scientist-environmental-services-chicago-at-burns-mcdonnell-3488082978?refId=HMZK87ObBNJJvDsLhfQu%2BA%3D%3D&trackingId=vAL7Mr0mfjj30KJeo%2FKl1Q%3D%3D&position=12&pageNum=34&trk=public_jobs_jserp-result_search-card
863,2023-06-25,Rapport IT Services Inc,Java Developer,"Chicago, IL",https://www.linkedin.com/jobs/view/java-developer-at-rapport-it-services-inc-3667458918?refId=HMZK87ObBNJJvDsLhfQu%2BA%3D%3D&trackingId=trl4kWxA%2BJE%2Ff1TF7wibgA%3D%3D&position=13&pageNum=34&trk=public_jobs_jserp-result_search-card
864,2023-03-28,LaSalle Network,Saleforce Developer,"Chicago, IL",https://www.linkedin.com/jobs/view/saleforce-developer-at-lasalle-network-3580992637?refId=HMZK87ObBNJJvDsLhfQu%2BA%3D%3D&trackingId=t8xKcieVJ3rT3Ij%2B4JTVDw%3D%3D&position=14&pageNum=34&trk=public_jobs_jserp-result_search-card
865,2023-09-11,TAG - The Aspen Group,Senior Software Engineer - Patient Financing,"Chicago, IL",https://www.linkedin.com/jobs/view/senior-software-engineer-patient-financing-at-tag-the-aspen-group-3606155274?refId=HMZK87ObBNJJvDsLhfQu%2BA%3D%3D&trackingId=hQmkMuvm3c1gynORm7g7Yw%3D%3D&position=15&pageNum=34&trk=public_jobs_jserp-result_search-card
866,2023-10-05,John Deere,Part-Time Student-Software/Data Engineering-Chicago IL,"Chicago, IL",https://www.linkedin.com/jobs/view/part-time-student-software-data-engineering-chicago-il-at-john-deere-3729326205?refId=HMZK87ObBNJJvDsLhfQu%2BA%3D%3D&trackingId=dbVrq48NQFeBqR%2BLOe%2Bqww%3D%3D&position=16&pageNum=34&trk=public_jobs_jserp-result_search-card
867,2023-10-01,RiverPoint Group,Software Engineers,"Rosemont, IL",https://www.linkedin.com/jobs/view/software-engineers-at-riverpoint-group-3726926881?refId=HMZK87ObBNJJvDsLhfQu%2BA%3D%3D&trackingId=0Sy%2BkanbAvKFP6A8AwMyig%3D%3D&position=17&pageNum=34&trk=public_jobs_jserp-result_search-card
868,2023-04-02,Lorven Technologies Inc.,"Hiring - Full Stack Developer - Long Term - Dallas, TX or Chicago, IL (Hybrid) - Lorven Technologies Inc.","Chicago, IL",https://www.linkedin.com/jobs/view/hiring-full-stack-developer-long-term-dallas-tx-or-chicago-il-hybrid-lorven-technologies-inc-at-lorven-technologies-inc-3584721290?refId=HMZK87ObBNJJvDsLhfQu%2BA%3D%3D&trackingId=2fKDxFpvW%2F2s8IClA83vow%3D%3D&position=18&pageNum=34&trk=public_jobs_jserp-result_search-card
869,2023-09-25,Google,"Software Engineer III, Embedded Systems, Pixel","Chicago, IL",https://www.linkedin.com/jobs/view/software-engineer-iii-embedded-systems-pixel-at-google-3726806536?refId=HMZK87ObBNJJvDsLhfQu%2BA%3D%3D&trackingId=LkpPxv%2BBSEJ3wO4iqeZpgw%3D%3D&position=19&pageNum=34&trk=public_jobs_jserp-result_search-card
870,2023-09-13,Lextegrity,Senior Software Engineer,"Chicago, IL",https://www.linkedin.com/jobs/view/senior-software-engineer-at-lextegrity-3720090293?refId=HMZK87ObBNJJvDsLhfQu%2BA%3D%3D&trackingId=zRNIk9LATrRWjtylVLhq8g%3D%3D&position=20&pageNum=34&trk=public_jobs_jserp-result_search-card
871,2023-09-23,Aha!,Ruby on Rails Engineer,"Chicago, IL",https://www.linkedin.com/jobs/view/ruby-on-rails-engineer-at-aha%21-3710244594?refId=HMZK87ObBNJJvDsLhfQu%2BA%3D%3D&trackingId=AzzUP7uuy%2BtL%2FsTZSCUjpA%3D%3D&position=21&pageNum=34&trk=public_jobs_jserp-result_search-card
