ID,Date,Company,Title,Location,Link
137,2023-03-28,MoTek Technologies,Data Scientist,"San Francisco, CA",https://www.linkedin.com/jobs/view/data-scientist-at-motek-technologies-3576838128?refId=SxbGBDAyCNDRA4nC0oxzHg%3D%3D&trackingId=lDRy4RbrOBcoOs0x9%2FaBRw%3D%3D&position=13&pageNum=5&trk=public_jobs_jserp-result_search-card
138,2023-08-05,The Voleon Group,Data Scientist,"Berkeley, CA",https://www.linkedin.com/jobs/view/data-scientist-at-the-voleon-group-3686240569?refId=SxbGBDAyCNDRA4nC0oxzHg%3D%3D&trackingId=AsZmyVEPZezLrhWFMdBDDg%3D%3D&position=14&pageNum=5&trk=public_jobs_jserp-result_search-card
139,2023-09-21,Bluebix Solutions,Lead Data Scientist,"Sunnyvale, CA",https://www.linkedin.com/jobs/view/lead-data-scientist-at-bluebix-solutions-3720375375?refId=SxbGBDAyCNDRA4nC0oxzHg%3D%3D&trackingId=p9HSidiZqI%2B98ZkaVSBfiA%3D%3D&position=15&pageNum=5&trk=public_jobs_jserp-result_search-card
140,2023-09-18,Apple,Software Incubation ML Engineer,"Cupertino, CA",https://www.linkedin.com/jobs/view/software-incubation-ml-engineer-at-apple-3639941690?refId=SxbGBDAyCNDRA4nC0oxzHg%3D%3D&trackingId=qLLbO4gko88INcIIKSzIHw%3D%3D&position=16&pageNum=5&trk=public_jobs_jserp-result_search-card
141,2022-09-18,TWO,Engineer - Machine Learning (Intern),"Silicon Valley, CA",https://www.linkedin.com/jobs/view/engineer-machine-learning-intern-at-two-3308576612?refId=SxbGBDAyCNDRA4nC0oxzHg%3D%3D&trackingId=6QmIsxrfWHY4fCzrPVFyow%3D%3D&position=17&pageNum=5&trk=public_jobs_jserp-result_search-card
142,2023-03-28,MoTek Technologies,Data Scientist,"Redwood City, CA",https://www.linkedin.com/jobs/view/data-scientist-at-motek-technologies-3576843035?refId=SxbGBDAyCNDRA4nC0oxzHg%3D%3D&trackingId=Dz7FMaDGvQof9wLAZ3UEXA%3D%3D&position=18&pageNum=5&trk=public_jobs_jserp-result_search-card
143,2023-09-23,Qcells North America,Machine Learning Engineer,"San Francisco, CA",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-qcells-north-america-2951971012?refId=SxbGBDAyCNDRA4nC0oxzHg%3D%3D&trackingId=svk9j%2FBeuPRXGNavI6RYWg%3D%3D&position=19&pageNum=5&trk=public_jobs_jserp-result_search-card
144,2023-03-28,MoTek Technologies,Machine Learning Engineer,"San Francisco, CA",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-motek-technologies-3576838906?refId=SxbGBDAyCNDRA4nC0oxzHg%3D%3D&trackingId=3URLX0Tf%2FwRwIQ7jywdLJA%3D%3D&position=20&pageNum=5&trk=public_jobs_jserp-result_search-card
145,2023-10-09,Scribe Therapeutics,Data Scientist/Sr. Data Scientist,"Alameda, CA",https://www.linkedin.com/jobs/view/data-scientist-sr-data-scientist-at-scribe-therapeutics-3731017289?refId=SxbGBDAyCNDRA4nC0oxzHg%3D%3D&trackingId=oqahOG9wSnLkxM2JeW7PHg%3D%3D&position=21&pageNum=5&trk=public_jobs_jserp-result_search-card
146,2023-03-28,MoTek Technologies,Data Scientist,"Redwood City, CA",https://www.linkedin.com/jobs/view/data-scientist-at-motek-technologies-3576838434?refId=SxbGBDAyCNDRA4nC0oxzHg%3D%3D&trackingId=e7ErCC4Xgq7Z9C9S6g74%2Bg%3D%3D&position=22&pageNum=5&trk=public_jobs_jserp-result_search-card
147,2023-03-28,MoTek Technologies,Data Scientist,"San Francisco, CA",https://www.linkedin.com/jobs/view/data-scientist-at-motek-technologies-3576837496?refId=SxbGBDAyCNDRA4nC0oxzHg%3D%3D&trackingId=SvwVWOOjoOkm0jDnxLoeVA%3D%3D&position=23&pageNum=5&trk=public_jobs_jserp-result_search-card
148,2023-03-28,MoTek Technologies,Data Scientist,"San Francisco, CA",https://www.linkedin.com/jobs/view/data-scientist-at-motek-technologies-3576839749?refId=SxbGBDAyCNDRA4nC0oxzHg%3D%3D&trackingId=H%2Fluh%2FmlVJFZEXeySEFYGA%3D%3D&position=24&pageNum=5&trk=public_jobs_jserp-result_search-card
149,2023-06-27,Tau Motors,Software Engineer - Data Scientist,"Redwood City, CA",https://www.linkedin.com/jobs/view/software-engineer-data-scientist-at-tau-motors-3673095091?refId=SxbGBDAyCNDRA4nC0oxzHg%3D%3D&trackingId=354neiw3QgZruFegdHUZtQ%3D%3D&position=25&pageNum=5&trk=public_jobs_jserp-result_search-card
150,2023-09-28,Tavus,Applied ML Engineer,"San Francisco, CA",https://www.linkedin.com/jobs/view/applied-ml-engineer-at-tavus-3727996134?refId=T4ppOhhtpXAXOsmlRM5Muw%3D%3D&trackingId=IRJdDvuCJXRQRBJSwh4A3w%3D%3D&position=1&pageNum=6&trk=public_jobs_jserp-result_search-card
151,2023-03-28,MoTek Technologies,Machine Learning Engineer,"Palo Alto, CA",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-motek-technologies-3576836918?refId=T4ppOhhtpXAXOsmlRM5Muw%3D%3D&trackingId=PYxBl3UiMncmgL3m1DAO%2FA%3D%3D&position=2&pageNum=6&trk=public_jobs_jserp-result_search-card
